text,rating_1,rating_2,rating_3,rating_4,rating_5
"
 I like this Super Walmart better than one in Avondale. It's bigger, cleaner and sanitize wipes are always at the entrance. And they carry my favorite Tazo tea and Girard's salad dressing. ",0,0,0,1,0
"
 This review is not in regards to the food. It was very good, I liked the egg rolls and the orange chicken tasted very authentic. Although, my boyfriend and I sat down and the server mentioned something we couldn't quite understand as we sat he came to mention how handsome my boyfriend was? Thanks but making a pass at my boyfriend with me there is not only rude but awkward. Then proceeded to say I have to say you are beautiful because I told him he is handsome. Well thanks for the not needed added comment. And for hurting my feelings. ",1,0,0,0,0
"
 Most of the reviews tend to focus on the food service. Technically there are other yelp locations for this place and reading those individual reviews will be more helpful if you're planning on getting anything other than from the snack or dessert bars. You can look up: Full restaurant: http://www.yelp.com/biz/347-grill-maricopa Bar/in-theater dining: http://www.yelp.com/biz/luxe-lounge-maricopa Desert bar: Cones Cafe (no separate yelp location) As far as the center itself goes: this is a great place to get a lot done. I've spent several date nights just here and it's only a couple of miles from our home in Maricopa. The place is always clean, the staff usually quite helpful though we did find once a movie (Elysium) was shown as rated PG-13 instead of rated R. Thankfully our kids weren't there that night. The biggest drawback is they show most of the places to eat as separate so choose where you eat accordingly. I've found it's best to eat at the 347 Grill rather than the in-show food/drinks for Star Class tickets (Luxe Lounge review spoiler alter: the novelty wears off quickly with such poor service; eat BEFORE your movie). Aside from the food, UltraStar has top-notch entertainment, especially for Maricopa. While the prices reflect the lack of local competition, several discounts are available including student rates, free movie nights, kids events and most recently their 2 year anniversary where tickets were $2 (as well as $2 drinks and $2 popcorn). All in all, my favorite place to go when I'm too lazy to make it into the valley for a date. ",0,0,1,0,0
"
 I absolutely LOVE this store. I moved to Las Vegas in November 2013 and I've had such bad luck with furniture stores since I've been here. I went to Furniture Markdowns to browse after an unpleasant experience and obtaining a refund from a big name furniture store. In disgust I googled furniture stores and Furniture Markdowns was first on the list. I drove the 13 miles and boy am I ever glad I did! Momma & Mike were so helpful, I really like their personal customer service, not pushy at all, and Momma sat with me and mapped out my furniture placement. I was told on Monday, my furniture would be here at 10:00 AM today, and it came on time and it looks beautiful. I absolutely love Furniture Markdowns!! I plan on going back there as I saw a couple of pieces that I'm interested in (and the lifetime delivery charge doesn't hurt either!) I wish I could give Furniture Markdowns 100 stars, because in my book, they deserve it! ",0,0,0,0,1
"
 Fantastic experience here. Very friendly waiter. No MSG in their food, which is huge to me. It does not need it, anyway. We had the green curry and it was great. Also ordered the Herbal Salad, which was recommended here by several yelp'ers. It was very lemongrass-y, which was good for a few bites, but I could not eat a whole plate of it. My husband had no problem eating a good deal of it, though. The coconut milk curry was great. We also ordered the mango with sticky rice dessert, as well as the fried banana with homemade coconut ice cream. The ice cream is to die for. best I've had in a while-- and homemade! :) Mango sticky rice was wonderful, too, and I haven';t found many places that make it with coconut milk only instead of sweetened condensed milk. So happy to find a vegan version! ",0,0,0,0,1
"
 The selection is good, the prices are pretty good. On major liquor brands, you can often find better prices at your grocery store. For specialty wines and beers, they are better priced than Whole Foods but similar to Lee's. Their strength is definitely their selection across all alcohol types. If you need to buy liquor, beer, and wine, it's a nice one-stop shop that offers some different things than Lee's. The service is where things start to fall apart. It seems the only knowledgeable people on the staff are the management. Ask the regular floor staff a question and usually they are clueless unless the answer involves generalities like ""the beer is over there."" Even the management has problems with answering questions about upcoming releases, but at least they know something about the stock. Also, they don't restock after they close or before they open, they restock during the lunch-break rush. They block off whole aisles and don't move even when it's obvious you are trying to get to something. During the restock, the general opinion of the staff seems to be that the customers need to get out of their way and they don't make any attempt to get around their customers. While it is nice to have an alternative to Lee's and they do have a wide selection, it would be nice if they took the time to educate their staff on how to treat customers and some basics of alcohol. ",0,0,1,0,0
"
 This is literally a hidden gem on 16th Street and Bethany Home. There is no signage outside so you just have to find it. The place is TINY, essentially a bar and a few tables and a function room behind the usually closed door by the entrance. As with their sister restaurant Rokerij, the smell of burning wood permeates the place. They serve beer and cocktails and have a good selection of wine. The food here is great. If you don't mind waiting this is a great place for brunch. The green chile meatloaf is probably my favorite-it is served over a tortilla with beans and two eggs. OH IT IS SOOOOO GOOD!!!! I also had green chile stew which was fantastic as well. One of my favorite places to hit in Phoenix. ",0,0,0,1,0
"
 Went here because we had a groupon. Not opposed to going back, but would not make a special trip for to get there. Chips seemed to be out of a bag, the salsa was tomatoes and salt--and a very small portion at that. Entree portions were large, hot and tasty. I had the chilequiles, and had no complaints. The chicken was done well and the sauce was nice and spicy like I like it. Hubby had sampler of enchiladas, no complaints. Daughter had veggie plate #4, and she thought it was good. That's it, good--not great--no complaints! Wait staff was very nice! ",0,1,0,0,0
"
 We visited Trophy's this weekend. Driven by it numerous times and decided to give it a shot. It was semi okay, but probably will not be going back. First off, the menu states that the dinner comes with a dinner roll. Neither my husband nor myself received this. We both had the cesar salad and mine was lacking hardly any dressing and the lettuce was way too large. I also tried to order the prime rib, however was told that they were out of it, so I had to go with my second choice of a rib eye. Now, I would expect a steakhouse to be able to cook a killer steak right? Hmm not so much. The flavor was good, but my husband and I both ordered our steaks medium rare and both were EXTREMELY rare. To top it off, the knives were poorly sharpened so we both sat there mauling our meat with sub-par knives. And where I expect ribeyes to be fatty to an extent, the 12oz that I ordered was at least 1/3 fat, which was disappointing. My baked potato was pretty undercooked and hard in places. I also asked for sour cream and chives and was charged $2 extra...not sure what for, maybe because I asked for 2 toppings instead of one? The asparagus was very tasty though. We took our almost 11 year old with us and I was absolutely disgusted with their kid's menu. Only one semi healthy thing on the menu. My son was grossed out by a FRIED peanut butter and jelly (for dinner really??). Since it's a steakhouse and he loves steak he was looking forward to getting a kid's steak meal...they had none. Why does a steakhouse have no steak for the kids? He settled on the pasta, but the side is french fries which he typically prefers fresh fruit, veggies, or a salad. He was informed that they do not have fruit and was informed that veggies or salad do not come with the kid's meals only fries (or sweet potato fries for an extra $2). He was very bummed to be going to a steakhouse and he ends up with pasta and marinara sauce and french fries that he didn't even eat. Not sure why giving the kid a salad instead of fries was not okay. He said the pasta was okay but said the sauce just tasted like plain tomatoe sauce with nothing in it. I find it hard to support a place that doesn't even offer a healthy option for kids who choose to eat healthier. NOt sure why when they offer veggies and salads for the adults they can't make that a side choice for the kids that would prefer it and why they couldn't offer a 3oz grilled sirloin for the kids who would want it. Honestly, when Texas Roadhouse is down the road, a good $5-$6 per meal cheaper, offers healthier side options for kids as well as steak for the kids, and I've never had an issue ordering the prime rib there or having my steak over or undercooked either. Very sad about that, because I enjoy promoting and supporting the local busineses and I LOVED that not only is it a locally owned business but the owners also live locally and my son got a HUGE kick out of the decor of this place and the story behind it as well. But, I found the prices to be a good $5-$6 higher than they really should be, the kid's menu poorly done, and the food to be just okay, so I probably would not spend the extra money to return. ",0,1,0,0,0
"
 Thanks to Groupon I didn't have to pay full price for this mess! I will not be returning to this salon anytime soon and if I did it would NOT be with Josh! His conversation during my treatment was very unprofessional with his coworkers, he barely talked to me at all, and then my hair cut and deep conditioning treatment took TWO hours! I have curly hair and he cut my hair curly then straighten it (which I did not want done) because he said he had to ""make sure it was even."" I think if you have to straighten someones curly hair just to make sure it's even then maybe you should only be cutting straight hair. Never in my life has anyone had to cut my hair curly THEN straighten it and cut it again! That's just crazy! And when I mentioned this to him his response was ""ha ha I know what I'm doing, I do this shit all day"". Lastly on top of all that mess be BURNED my scalp TWICE with the straightener. I will never go back to him and I may never go back to this salon, but if I do it will be with one of the girls that has good reviews on here! Other than him, the receptionist was very pleasant, she offered me something to drink, the music was good, the salon was clean and well taken care of, and they also had a sign up that said something along the lines of ""If your children aren't here for services, please leave them at home."" which I find refreshing because it seems like everywhere I go now a days is also a unofficial daycare! Bottom line If you don't have Josh I'm sure you will have a much better experience than I had. ",1,0,0,0,0
