text,rating_1,rating_2,rating_3,rating_4,rating_5
"
 Last night I went to west side Grimaldi's for the first time. I've been a fan of their pizza ever since it was introduced to me at work when we were filming TV shows near the eastside location. I had been meaning to come by and show my support for the ""new"" Grimaldi's by my house for awhile. We dined on the patio, and it was perfect weather to do so. Yes, it's that one week in Vegas between hot summers and cold winters. The service left something to be desired, and I was bummed that there weren't any appetizers on the menu like garlic knots (I swear there used to be, no?) -- but those are my only real complaints. The pizza was great, and the ingredients were fresh as always. I'm sure there was a price for the pizza, but I got lucky in that I won some Internet contest and received a $100 Grimaldi's gift card in the mail a month or so ago, so the only money that left my pocket was for a tip. ",0,0,0,1,0
"
 This gym is the filthiest, smelliest gym I have ever been in, the staff never cleans ANYTHING! We joined as a couple the price was right but we found out the hard way why! The Owner is extremely rude and seems to have a Napoleon complex or was having a roid rage moment! We were over charged on our credit card by only 7.00 but the amount wasn't the issue it was never corrected.. When we brought this to his attention he freaked out and cancelled our memberships! This blew our minds. His mistake, his gym who else do you go to? Well, not this guy, he seems really bothered by dealing with customer service a word he apparently never learned, his people aren't trained either which isn't any surprise! Don't waste your money you might end up sick, if this place doesn't clean up it's act they will most definitely be shut down! The health dept is on there way hopefully, I know several unhappy members who have reported these pigs!! ",1,0,0,0,0
"
 Had the most basic drink: a small coffee. But it was very tasty. I think it was Illy. However, I think that little cup of coffee was over $3. But it is the Cosmo, so I'm not sure if you can find a cheaper coffee. I think the lattes were over $5! and I don't think it comes with a gold leaf or anything. There wasn't too much of a line so it was very quick, but when we left a huge group of people were in line, and depending on what they order, I have no idea how long it could take (e.g., gelato, sandwiches, snacks, etc). Takes credit cards, so that was convenient. If you're looking for a coffee, it's really not a bad option, just be prepared to pay for it, as if the coffee were made of gold. ",0,0,0,1,0
"
 India Palace is an excellent alternative to nearby buffets on the Strip... and (generally speaking) far less expensive! For about $12, you get a solid variety of popular Indian dishes (Chicken Tikka, Tandoori, Veggie Korma, Dosas, Basmati, Naan, Salad, and Desserts... to name a few), which all taste pretty good. I have had Indian food all over the world, so that's a definite compliment from me. Although the place was pretty clean and had decent decor, the service leaves some room for improvement. The location is also a bit seedy, but understandable as it is on the outskirts of the Strip. I also gagged when I discovered something that resembled a cockroach leg in my Masala. After inspection, I'd like to give India Palace the benefit of the doubt even though I've never seen such a thing in the countless Masala dishes I've had; but nevertheless, it totally ruined my appetite... but not enough to not give India Palace a second chance. The lack of service and room for improvement on the curries (I have had better- Saagar in Newport Beach is a comparable place and is much better) led me to give 4 out of 5 stars. ",0,0,0,1,0
"
 Mmmmm. Yummy. First let me say that the unassuming facade says nothing about the little gem inside. Since the place just opened, there's a banner instead of a sign, and a small curb tent directing diners in to the -only- open store in the building. But for those who brave new frontiers, it's worth it. Z's House Sandwich = Gooood. The smoked pork brings out the sausage and bacon lover in me, and yet I was rewarded with an equally good helping of 'Fresh' as well - the cucumbers, tomatoes and peppers were all great! The Egg Salad sandwich also received high marks from my compatriot, and I loved the option of the Orangina for drinks! Which leads me to the second aspect of the place - while it has little for decoration (other than the very comely proprietor) it has a wonderful supply of European goods - chocolates, breads, biscuits, drinks, meats and yes, Eurocrem. A vanilla and hazelnut spread that competes with Nutella in my book! Ahhh, yes. I hope others find and patronize this place enough to keep it in business, so I can continue to visit my happy euro-place! Update: I'm happy to report that business seems to have picked up as there was a short line for lunch! It didn't take long to get served, and they also offer lunch deals that are well worth the visit! ",0,0,0,1,0
"
 I had one of the most satisfying all around meals I've ever had at this restaurant and I cannot wait to go back. I went for Pittsburgh Restaurant Week and ordered the fixed three course meal and every dish was not only something i had never tried before but was also delicious. The best part of the meal was a goat cheese and balsamic ice cream which i was nervous to try but was actually mind blowing. As it was Restaurant Week the place which is fairly small was very packed but the staff was incredibly social and very helpful in describing all of the food and wine pairings. On top of all of this I got 3 orders and three drink pairings for $30 which was incredible. I cannot speak highly enough of my all around experience here. ",0,0,0,0,1
"
 Excellent little place in the heart of downtown Kitchener! Although service can be a bit slow, the food is absolutely worth the wait. After ordering, miso soup and salad were served. The salad was very fresh and very different. It wasn't the usual Thousand Island sauce or vinaigrette sauce. It was very tangy, with a slight wasabi flavour to it. I found the miso soup to be lacking in flavour. My friend and I shared two rolls - Love Love and Grand Canyon. The chef definitely had his creative hat on when crafting these rolls. The Love Love roll (spicy tuna, salmon, masago) was very unique. The Grand Canyon roll (eel, cooked salmon, cream cheese, tempura bits) was absolutely epic. The roll was baked just before serving. The tempura bits were very crunchy and it had such a different texture! ",0,0,0,1,0
"
 So, here is what I propose you do. First, the breakfast burrito with ham, cheese and potato. Then Lunch - the giant burro with chicken, a fresh lemonade and tres leche cake. Go into a food coma for 3 days, repeat... No you will not live long, you will not be productive and eventually you will outgrow your pants, your bed, your house but you will die happy and really that is what is all about...so, I repeat, the breakfast burrito...go for it! El Sol is found in some dumpy strip mall on Arizona Ave next to a trophy shop and a defunct piano tuner betw/Chandler Blvd and Ray. Parking is maybe the 3 spots in front. It is the perfect lunch spot when you want to take the afternoon off and sleep, the perfect breakfast when you want to eat and nap directly afterwards. It is not heavy food, it is not greasy food, but whatever turkey dinner has in it, it has got it in spades! It is that full, I really should take some time to enjoy this meal type of feeling. Enjoy. ",0,0,0,1,0
"
 The novelty of eating during your movie quickly wears out due to the horrific customer service. I'm not sure if it's adequately staffed or what but after finally taking my order 40 minutes into the film, it took them another 50 minutes to bring me my food: a simple order of buffalo wings! If you're going to the movies here and need to eat out, hit something in town first or the 347 Grill (if popcorn or icecream won't do the trick, that is). ",0,1,0,0,0
"
 This is a pretty cool little pizza place to come have a beer and watch a game in the bar room on one of their many flat screen TVs. They have a good happy hour 3-7. Their pizza is ok. The boneless wings are pretty bad. Nothing you would find at a Buffalo Wild Wings. The rest of the food is pretty good tho ",0,0,0,1,0
"
 The Fruitmarket is conveniently located just next to the train station which means that if you have some time to kill and fancy a coffee and/or a bite to eat, you don't need to settle for expensive and sub-par station food. Our coffees were lovely, but our cakes left a bit to be desired as The Man's carrot cake was quite dry and my orange and almond cake was swimming in frosting/sugar drizzle and tasted nothing of almonds. Staff were a bit funny about two people having to sit on a table for two (rather than a larger one), which I could get if it was at all busy and if we didn't have a million bags between us, but there was only one table other than us and we ended up crammed in a corner with our bags spilling into the walkway. Totally fine for a pre-train coffee, but not somewhere I would come otherwise. ",0,0,1,0,0
"
 We went to thirsty lion on valentines day and had great service. Shout out to our server steve. The Brussel sprouts and pancetta were great. Also the mojito! We ordered the ultimate nachos without cheese, and unfortunately it came out with cheese; but steve was very accommodating and had them remade for us. We will definitely be back! ",0,0,0,1,0
"
 We showed up at 5:30 without reservations. There were only two tables seated in the restaurant, and we were told that they were full with a lot of snobbery and little concern for our opinion of their establishment. We were very excited to try the place, and the experience was completely wrecked by the very unwelcoming attitude. The food looked good, but the attitude was definitely not. Regardless of when everyone else shows up, you can at least let someone sit at the bar for an hour dinner when they're is only two other tables seated in the whole place. We definitely would have been gone by the time the last reservation arrived. I can't really truly convey how disappointing and almost downright humiliating it is to be told the restaurant is booked when there are 8 people sitting in the entire place and 20+ empty tables. While I understand opentable and the reservation system (and often use it myself), there is something to be said for being a human being and making a little effort. Perhaps a nicer explanation and an offer of a drink and an appetizer at the bar. I'm a little disappointed in myself for not making even a little bit of a scene, or being as rude to the hostess as she was to us. I'm not normally that way, and rarely consider doing so in a restaurant (especially where I'm planning to eat), but I was downright PISSED at the haughty ""we don't give a sh*t"" about your patronage attitude as we walked down the street. We ended up going a few blocks away to Chez L'epiecier http://www.yelp.ca/biz/chez-lepicier-restaurant-bar-a-vin-montreal for one of the best meals of my life. Save yourself some frustration, and just go there instead if you don't mind spending a few dollars more. I'm sure the food is probably good if you don't mind the potential of being treated like just another diner. I've had better service at McDonalds. ",0,1,0,0,0
"
 Terrible thai food. Don't venture past the pad thai. Not cheap either. ",0,1,0,0,0
"
 Usually the service here is spot on. Not tonight. Ordered a double cheese with four things on it - lettuce, tomato, mushrooms, bacon. Get home and they've added mustard and ketchup and no bacon. Drive back over. The remake the burger - with pickles. Remake it a THIRD time and got it right. Zero attention to detail. Would give zero or negative stars if I could. ",1,0,0,0,0
"
 I had the teriyaki bowl and a California Roll and it was pretty good; I think the teriyaki bowl was better of the two. The entire meal with no drink cost like $6-$7 bucks so it's not too bad for a cheap lunch. I'm sure I'll be back soon... ",0,0,1,0,0
